ARRIVEE: Etage 2, No. 1, Temps: 53
DEPART : Etage 5, No. 2, Temps: 53
DEPART : Etage 0, No. 1, Temps: 54
PORTES : Etage 0, No. 1, Temps: 54
PORTES : Etage 0, No. 1, Temps: 54
PORTES : Etage 0, No. 1, Temps: 54
PORTES : Etage 0, No. 1, Temps: 54
PORTES : Etage 2, No. 0, Temps: 54
ARRIVEE: Etage 0, No. 0, Temps: 54
DEPART : Etage 5, No. 2, Temps: 55
PORTES : Etage 1, No. 1, Temps: 55
ARRIVEE: Etage 0, No. 1, Temps: 55
ARRIVEE: Etage 0, No. 0, Temps: 55
ARRIVEE: Etage 0, No. 1, Temps: 55
ARRIVEE: Etage 0, No. 1, Temps: 55
ARRIVEE: Etage 4, No. 2, Temps: 55
ARRIVEE: Etage 4, No. 2, Temps: 55
DEPART : Etage 1, No. 1, Temps: 56
DEPART : Etage 1, No. 1, Temps: 56
DEPART : Etage 1, No. 1, Temps: 56
DEPART : Etage 5, No. 2, Temps: 56
ARRIVEE: Etage 1, No. 1, Temps: 56
DEPART : Etage 2, No. 1, Temps: 56
DEPART : Etage 2, No. 1, Temps: 56
DEPART : Etage 2, No. 1, Temps: 56
DEPART : Etage 2, No. 1, Temps: 56
DEPART : Etage 1, No. 0, Temps: 56
PORTES : Etage 0, No. 1, Temps: 57
PORTES : Etage 0, No. 1, Temps: 57
PORTES : Etage 1, No. 0, Temps: 57
PORTES : Etage 0, No. 1, Temps: 57
PORTES : Etage 0, No. 1, Temps: 57
ARRIVEE: Etage 4, No. 2, Temps: 57
DEPART : Etage 2, No. 1, Temps: 57
ARRIVEE: Etage 3, No. 2, Temps: 57
ARRIVEE: Etage 3, No. 2, Temps: 57
BOUTON : Etage 0, No. 6, Temps: 58
PORTES : Etage 2, No. 1, Temps: 58
ARRIVEE: Etage 0, No. 1, Temps: 58
ARRIVEE: Etage 0, No. 1, Temps: 58
ARRIVEE: Etage 0, No. 1, Temps: 58
ARRIVEE: Etage 3, No. 2, Temps: 58
ARRIVEE: Etage 0, No. 1, Temps: 58
ARRIVEE: Etage 0, No. 1, Temps: 58
ARRIVEE: Etage 0, No. 1, Temps: 58
ARRIVEE: Etage 0, No. 1, Temps: 58
ARRIVEE: Etage 0, No. 0, Temps: 58
DEPART : Etage 2, No. 1, Temps: 59
DEPART : Etage 2, No. 1, Temps: 59
DEPART : Etage 2, No. 1, Temps: 59
DEPART : Etage 2, No. 1, Temps: 59
DEPART : Etage 1, No. 0, Temps: 59
PORTES : Etage 0, No. 0, Temps: 59
DEPART : Etage 1, No. 1, Temps: 59
DEPART : Etage 1, No. 1, Temps: 59
DEPART : Etage 1, No. 1, Temps: 59
DEPART : Etage 1, No. 1, Temps: 59
ARRIVEE: Etage 3, No. 2, Temps: 59
ARRIVEE: Etage 2, No. 1, Temps: 59
DEPART : Etage 2, No. 1, Temps: 60
PORTES : Etage 0, No. 1, Temps: 60
PORTES : Etage 0, No. 0, Temps: 60
PORTES : Etage 0, No. 1, Temps: 60
PORTES : Etage 0, No. 1, Temps: 60
ARRIVEE: Etage 1, No. 0, Temps: 60
PORTES : Etage 1, No. 1, Temps: 61
ARRIVEE: Etage 0, No. 1, Temps: 61
ARRIVEE: Etage 0, No. 1, Temps: 61
ARRIVEE: Etage 0, No. 1, Temps: 61
ARRIVEE: Etage 0, No. 1, Temps: 61
ARRIVEE: Etage 1, No. 0, Temps: 61
DEPART : Etage 0, No. 1, Temps: 61
ARRIVEE: Etage 1, No. 1, Temps: 61
ARRIVEE: Etage 1, No. 1, Temps: 61
ARRIVEE: Etage 1, No. 1, Temps: 61
ARRIVEE: Etage 1, No. 1, Temps: 61
DEPART : Etage 1, No. 1, Temps: 62
DEPART : Etage 1, No. 1, Temps: 62
DEPART : Etage 0, No. 0, Temps: 62
DEPART : Etage 1, No. 1, Temps: 62
DEPART : Etage 1, No. 1, Temps: 62
PORTES : Etage 3, No. 2, Temps: 62
PORTES : Etage 3, No. 2, Temps: 62
ARRIVEE: Etage 1, No. 1, Temps: 62
DEPART : Etage 2, No. 1, Temps: 62
DEPART : Etage 2, No. 1, Temps: 62
DEPART : Etage 2, No. 1, Temps: 62
ARRIVEE: Etage 2, No. 0, Temps: 62
DEPART : Etage 1, No. 1, Temps: 63
PORTES : Etage 0, No. 1, Temps: 63
PORTES : Etage 0, No. 1, Temps: 63
PORTES : Etage 0, No. 1, Temps: 63
PORTES : Etage 3, No. 2, Temps: 63
PORTES : Etage 0, No. 1, Temps: 63
PORTES : Etage 0, No. 1, Temps: 63
